Color,Cultural_Meaning,Marketing_Application,Avoid_Context,Lucky_Rating,Business_Usage
Red,Good_Fortune_Joy,Luxury_Celebrations,Funerals_Warnings,Very_Lucky,Logos_Packaging
Gold,Wealth_Prosperity,Premium_Products,Cheap_Items,Very_Lucky,Luxury_Branding
Yellow,Imperial_Power,Traditional_Products,Modern_Tech,Lucky,Heritage_Brands
Green,Health_Growth,Organic_Products,Financial_Services,Neutral,Health_Food
Blue,Trust_Technology,Corporate_Finance,Traditional_Medicine,Neutral,Tech_Companies
Purple,Nobility_Wisdom,Luxury_Education,Mass_Market,Lucky,Premium_Services
White,Purity_Death,Weddings_Clean,Funerals_Grief,Unlucky,Minimal_Use
Black,Sophistication_Evil,Luxury_Fashion,Traditional_Ceremonies,Unlucky,Limited_Use
Pink,Romance_Femininity,Beauty_Fashion,Business_Corporate,Neutral,Beauty_Industry
Orange,Happiness_Energy,Youth_Products,Conservative_Brands,Neutral,Youth_Marketing