Platform,Germany,France,UK,Italy,Netherlands,Spain,Sweden,Primary_Age_Group,Content_Type
WhatsApp,78,83,89,92,85,88,72,All_Ages,Personal_Business_Messaging
Facebook,42,54,67,72,58,68,48,35_Plus,Community_Brand_Pages
Instagram,35,47,58,63,52,56,41,18-34,Visual_Lifestyle_Content
YouTube,88,89,92,87,91,89,94,16-54,Educational_Entertainment
LinkedIn,45,32,56,38,67,28,58,25-54,Professional_B2B_Content
TikTok,24,31,35,38,29,34,27,16-24,Short_Video_Trends
Twitter,12,18,34,22,25,22,28,25-44,News_Real_Time_Updates
Snapchat,15,22,28,18,24,18,32,13-24,Youth_AR_Content
Pinterest,22,25,32,28,35,31,38,25-44,Inspiration_Shopping
Telegram,18,12,8,15,12,15,8,18-34,Privacy_Group_Communication